,economy,time,Renewable energy consumption,Fossil fuel energy consumption,CO2 intensity,CO2 emissions (metric tons per capita),Other greenhouse gas emissions,HFC gas emissions,Methane emissions,Nitrous oxide emissions,PFC gas emissions,SF6 gas emissions,"Droughts, floods, extreme temperatures",Natural gas rents (% of GDP),GDP per capita (current US$),Mortality rate due to AP,Poverty gap at $3.20 a day,Multidimensional poverty headcount ratio
392,ARB,YR2013,4.3014127532996,96.2270958486696,2.62762348014829,4.49519443939826,82189.3793544163,,427240.0,113600.0,,,,1.95537267969895,7373.20167842865,,,
393,ARB,YR2014,4.17976238055282,95.4783427936613,2.6250303714183,4.60019065903552,108300.640605092,,418540.0,113470.0,,,,1.76229366564546,7300.03021943052,,,
394,ARB,YR2015,4.08075950619097,,,4.61796354463472,92241.3436313563,,408120.0,114330.0,,,,1.26429255033157,6220.71663600231,,,
395,ARB,YR2016,,,,4.57030837009204,84106.4559079111,,417260.0,115990.0,,,,0.721537311943915,5969.61659266763,101.931026885981,,
396,ARB,YR2017,,,,4.52835061157416,,,424580.0,117040.0,,,,0.814469408711931,5987.3419570748,,,
397,ARB,YR2018,,,,4.43871596541357,,,433660.0,118310.0,,,,1.12005305584137,6504.14849275027,,,
429,ARE,YR2000,0.0763999968767166,99.9463267021532,2.68192008982116,26.9745350051546,-7665.83453369141,0.0,23580.0,3850.0,218.0,660.1,,0.781890840815235,33291.3662541838,,,
430,ARE,YR2001,0.0646999999880791,99.9579101547342,2.39440252070439,29.1456562193245,3717.77203369141,,25770.0,3930.0,,,,0.976428138789512,31280.7558649555,,,
431,ARE,YR2002,0.0665000006556511,99.9575678205787,2.46066515651242,28.2053795466155,-5127.87310028099,,27970.0,4070.0,,,,0.820155401730749,31567.5463066439,,,
432,ARE,YR2003,0.0662999972701073,99.956868038962,2.63900001552353,27.891143450673,-5647.05998229999,,30160.0,4160.0,,,,0.776932431522855,33499.1027760786,,,
433,ARE,YR2004,0.100400000810623,99.9402355645341,2.62779059390505,27.0315641070576,-4262.69265747099,,32330.0,4230.0,,,,0.769012506079028,36333.1873330517,,,
434,ARE,YR2005,0.105200000107288,99.9371768487103,2.61315543980285,25.3431503532305,-1212.231903076,0.0,34590.0,4330.0,267.9,796.2,,1.02277739912433,39365.4596409245,,,
435,ARE,YR2006,0.117399998009205,99.9299339718219,2.62912656631741,22.9162374353134,-3071.302215576,,35390.0,4540.0,,,,1.10329852615802,41907.4214695701,,,
436,ARE,YR2007,0.112800002098083,99.9251754727605,2.62644720851083,21.3475907811607,-3213.017410278,,36200.0,4760.0,,,,1.10975915235565,41809.4621626311,,,
437,ARE,YR2008,0.110799998044968,99.9268309689007,2.63322873020451,22.0326269069436,-1031.51379394499,0.0,37010.0,5010.0,337.6,941.4,,1.064929985346,44498.9405069137,,,
438,ARE,YR2009,0.107699997723103,,2.62171391937107,19.8525570618923,-4866.13186645499,,37940.0,5230.0,,,,1.21603983490154,32024.1977823245,,,
439,ARE,YR2010,0.109399996697903,,2.63932416313267,19.0432793083694,-6551.572875977,0.0,38550.0,5430.0,384.0,1038.0,,0.929216538518677,33893.2638727391,,,
440,ARE,YR2011,0.109200000762939,91.6755854668508,2.58517749500404,18.5899325991994,-8495.55267333999,,40710.0,5680.0,,,,1.2782382333264,39194.672239975,,,
441,ARE,YR2012,0.101800002157688,90.1045374259987,2.56952575500308,19.223116133525,-9491.32806396499,,42870.0,5900.0,,,,1.35392053669611,40976.4907464015,,,
442,ARE,YR2013,0.102899998426437,93.6148828988519,2.63193142407605,20.0154208978824,-6184.07598877,,45120.0,6200.0,,,,1.35234710098737,42412.6395002704,,0.0,
443,ARE,YR2014,0.137700006365776,86.1283490244126,2.60863290905919,19.9518524813163,-8214.882995605,,47360.0,6470.0,,,,1.19746291188251,43751.8056478669,,,
444,ARE,YR2015,0.126399993896484,,,20.9480922596993,-12963.21484375,,49540.0,6770.0,,,,0.92582134533778,38663.4005026605,,,
445,ARE,YR2016,0.123000003397465,,,21.307609517171,-16708.68762207,,50680.0,6890.0,,,,0.521048014823747,38141.8671313451,54.7,,
446,ARE,YR2017,0.173199996352196,,,21.9506143326075,,,51830.0,7020.0,,,,0.563684708548258,40644.7911901772,,,
447,ARE,YR2018,0.259200006723404,,,20.7974984025486,,,52960.0,7140.0,,,,0.737730496480015,43839.3244866903,,0.0,
